uri,type,jurisdiction,title,date_valid,publication_status,date_copyright,author,publisher,rights,description,subject,education_level,score_range,authority_status,statement_notation,statement_label,list_id,local_subject,comment,is_part_of,is_version_of,exact_match,concept_term,alt_statement_notation,is_child_of,has_child,indexing_status,creator,created
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI504,Statement,,,,,,,,,Determine which models are supported or weakened by new information,Science,,24-27,Original,,,4,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI505,Statement,,,,,,,,,"Determine which experimental results or models support or contradict a hypothesis, prediction, or conclusion",Science,,24-27,Original,,,5,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI601,Statement,,,,,,,,,"Determine which complex hypothesis, prediction, or conclusion is, or is not, consistent with a data presentation, model, or piece of information in text",Science,,28-32,Original,,,1,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI602,Statement,,,,,,,,,"Determine whether presented information, or new information, supports or weakens a model, and why",Science,,28-32,Original,,,2,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI603,Statement,,,,,,,,,Use new information to make a prediction based on a model,Science,,28-32,Original,,,3,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI701,Statement,,,,,,,,,"Determine which complex hypothesis, prediction, or conclusion is, or is not, consistent with data presentations, models, and/or pieces of information in text",Science,,33-36,Original,,,1,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI702,Statement,,,,,,,,,"Determine whether presented information, or new information, supports or contradicts a complex hypothesis or conclusion, and why",Science,,33-36,Original,,,2,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI,,Indexable Statement,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
